Section,Title,Content
5. MoSCoW,Could Have (C),C1 Social media analytics. C2 Third ML pipeline. C3 Third-party auth (e.g. Google). C4 MFA. C5 HSTS. C6 Non-httpOnly preference cookie for React. C7 Docker. C8 Sanitization or encoding.
5. MoSCoW,Won't Have (W),W1 Real-time staff chat — adds WebSocket complexity and notification work for limited benefit this week; team already uses Slack/WhatsApp.
5. MoSCoW,Five nice-to-haves,1) Alerts when resident risk level changes. 2) Donor recognition wall (opt-in). 3) Social posting time recommender. 4) Resident journey timeline. 5) PDF annual accomplishment export.
6. Product Backlog,Product goal,"Deliver a secure, cloud-deployed web application that lets Haven Light Philippines staff manage resident cases and donor relationships while giving donors visibility into impact."
6. Product Backlog,Stories 1-9,1 Scaffold .NET API and React/Vite — 5. 2 PostgreSQL schema and seed CSVs — 5. 3 Authentication and login — 8. 4 RBAC — 5. 5 Admin dashboard — 5. 6 Caseload inventory — 8. 7 Process recording — 5. 8 Donors page — 5. 9 Public landing — 3.
6. Product Backlog,Stories 10-18,"10 Impact dashboard — 5. 11 Privacy and cookie consent — 3. 12 HTTPS, CSP, redirect — 3. 13 Home visits page — 5. 14 Reports and analytics — 5. 15 ML pipeline 1 donor churn — 8. 16 ML pipeline 2 reintegration — 8. 17 Azure and Supabase deploy — 5. 18 Lighthouse a11y 90% — 3."
7. Sprint Monday,Sprint goal,"Establish scaffold, database schema, seeded data, and authentication so the team can build features starting Tuesday."
7. Sprint Monday,Backlog (32 pts) — screenshot BEFORE starting,".NET 10 API plus EF Core (3) — Person A
React/Vite and Router (3) — Person B
PostgreSQL schema and migrations (5) — Person C
CSV seed script (3) — Person C
Supabase connection (2) — Person A
Identity register and login (5) — Person A
Login UI in React (3) — Person B
GitHub repo and basic CI (2) — Person D
Landing layout header hero footer (3) — Person D
ML exploration and notebook start (3) — Person D"
8. Burndown,How to track,Week total about 96 story points. Monday sprint uses 32 points. Update remaining points each night Mon through Thu. Draw ideal line from 96 down to 0 by end of Thursday.
9. Wireframes (desktop),Admin Dashboard,"Top nav with logo and user menu. KPI row: active residents, donations this month, upcoming case conferences, incidents this month. Below: two columns — chart of residents by risk level; recent activity feed. Footer with Privacy Policy link."
9. Wireframes (desktop),Caseload Inventory,"Search bar; filter chips for status, safehouse, category, risk. Data table: Case number, internal code, safehouse, status, risk, admission date, social worker. Row opens detail. Add New button top-right. Pagination."
9. Wireframes (desktop),Public Impact Dashboard,"Hero with headline and three headline stats (girls served, safehouses, supporters). Three cards with charts: education progress, health outcomes, donation impact. Optional impact snapshot paragraph. Footer with Privacy Policy."
Submit checklist,Before you turn in Monday,"Duplicate the official class FigJam board via File then Save a copy — do not rely on uploading a local .jam file (often shows up empty).
Paste stickies from figjam-monday-complete.csv or arrange on the duplicated board.
Replace [Add teammate name] with real names.
Take the required screenshot of the Sprint Monday backlog before you start working."
